RelativeTime_s,Player_Anim,Player_Anim_Hex,Target_Anim,Target_Anim_Hex
13.636,26032300,0x18D38AC,2009000,0x1EA7A8
13.678,26032300,0x18D38AC,2009000,0x1EA7A8
13.697,26032300,0x18D38AC,2009000,0x1EA7A8
13.728,26032300,0x18D38AC,2009000,0x1EA7A8
13.762,26032300,0x18D38AC,2009000,0x1EA7A8
13.794,26032300,0x18D38AC,2009500,0x1EA99C
13.840,26032300,0x18D38AC,2009500,0x1EA99C
13.856,26032300,0x18D38AC,2009500,0x1EA99C
13.888,26032300,0x18D38AC,2009500,0x1EA99C
13.918,26032300,0x18D38AC,2009500,0x1EA99C
13.946,26032300,0x18D38AC,2003015,0x1E9047
